BusinessUnit,CustomerNo,Salesperson,OrderLines,DiscountEUR,CategoryCode,CategoryLabel,CustCatDiscountEUR,PctOfCustomer
DK,23775,DKR-DK,3,57.87299303477935,PA2_Manually,Manual Price Change,164.6364435198853,35.15
DK,23776,B2B-DK,1,59.11071193983833,PA2_Manually,Manual Price Change,59.11071193983833,100.0
DK,23782,BVA-DK,1,-7.022434265190717,PA2_Manually,Manual Price Change,-7.009028001784454,100.19
DK,23782,POS-DK,1,0.013406263406262645,PA2_Manually,Manual Price Change,-7.009028001784454,-0.19
DK,23789,SEC-DK,5,9.234969752128059,PA2_Manually,Manual Price Change,9.234969752128059,100.0
DK,23825,DKR-DK,1,3.881269356071271,PA2_Manually,Manual Price Change,3.881269356071271,100.0
DK,23829,SEC-DK,2,97.78218503479229,PA2_Manually,Manual Price Change,97.78218503479229,100.0
DK,23832,B2B-DK,1,2.8456210393751418,PA2_Manually,Manual Price Change,37.03368854236539,7.68
DK,23832,DKR-DK,6,34.18806750299025,PA2_Manually,Manual Price Change,37.03368854236539,92.32
DK,23843,KMA-DK,19,1206.1493981498438,PA2_Manually,Manual Price Change,1206.1493981498438,100.0
DK,23845,PERSONALE,4,3.563313958394009,PA2_Manually,Manual Price Change,3.563313958394009,100.0
DK,23846,PERSONALE,11,2012.155756633979,PA2_Manually,Manual Price Change,2012.155756633979,100.0
DK,23865,PERSONALE,29,74.16645328698748,PA2_Manually,Manual Price Change,74.16645328698748,100.0
DK,23876,PERSONALE,16,324.2973138670884,PA2_Manually,Manual Price Change,324.2973138670884,100.0
DK,23882,B2B-DK,8,44.27097250343347,PA2_Manually,Manual Price Change,44.27097250343347,100.0
DK,23885,DKR-DK,1,144.30501930501927,PA2_Manually,Manual Price Change,144.30501930501927,100.0
DK,23887,AHE-DK,2,22.178180698206948,PA2_Manually,Manual Price Change,22.178180698206948,100.0
DK,23893,B2B-DK,8,71.73267366846676,PA2_Manually,Manual Price Change,71.73267366846676,100.0
DK,23900,PERSONALE,3,3.62770688120788,PA2_Manually,Manual Price Change,3.62770688120788,100.0
DK,23909,SEC-DK,5,81793.88308193753,PA2_Manually,Manual Price Change,81793.88308193753,100.0
DK,23911,DKR-DK,1,17.687731146486573,PA2_Manually,Manual Price Change,17.687731146486573,100.0
DK,23911164,B2B-DK,1,49.259433013873064,PA2_Manually,Manual Price Change,1552.6595811200596,3.17
DK,23911164,IFO-DK,7,1036.7208029080564,PA2_Manually,Manual Price Change,1552.6595811200596,66.77
DK,23911164,KMA-DK,8,466.67934519812997,PA2_Manually,Manual Price Change,1552.6595811200596,30.06
DK,23918,MPE-DK,1,1777.2297641042119,PA2_Manually,Manual Price Change,1861.6971481075916,95.46
DK,23918,SEC-DK,3,84.46738400337969,PA2_Manually,Manual Price Change,1861.6971481075916,4.54
DK,23921,DKR-DK,4,241.23348940134628,PA2_Manually,Manual Price Change,241.23348940134628,100.0
DK,23927,MIJ-DK,4,190.73817276621836,PA2_Manually,Manual Price Change,190.73817276621836,100.0
DK,23989,B2B-DK,7,58.44302810076302,PA2_Manually,Manual Price Change,58.44302810076302,100.0
DK,24002,B2B-DK,1,0.0013398360041023472,PA2_Manually,Manual Price Change,0.0013398360041023472,100.0
DK,24004,PERSONALE,1,10.711081953165795,PA2_Manually,Manual Price Change,10.711081953165795,100.0
DK,24007,JMU-DK,49,4689.016163570661,PA2_Manually,Manual Price Change,4689.016163570661,100.0
DK,24012,MPE-DK,14,9546.305330677484,PA2_Manually,Manual Price Change,9546.305330677484,100.0
DK,24016,B2B-DK,1,0.9652121455861714,PA2_Manually,Manual Price Change,0.9652121455861714,100.0
DK,24021,B2B-DK,1,0.0013397283030989128,PA2_Manually,Manual Price Change,0.0013397283030989128,100.0
DK,24133,SEC-DK,11,603.2228132179497,PA2_Manually,Manual Price Change,603.2228132179497,100.0
DK,24160,MPE-DK,3,-1696.0357611285096,PA2_Manually,Manual Price Change,-1696.0357611285096,100.0
DK,24166,PERSONALE,1,5.026901148317675,PA2_Manually,Manual Price Change,5.026901148317675,100.0
DK,24228,CBE-DK,7,5065.45671396681,PA2_Manually,Manual Price Change,5065.45671396681,100.0
DK,25376316,B2B-DK,16,115.71330892006125,PA2_Manually,Manual Price Change,691.2969696459597,16.74
DK,25376316,DKR-DK,20,107.29273909780883,PA2_Manually,Manual Price Change,691.2969696459597,15.52
DK,25376316,ERO-DK,21,468.2909216280897,PA2_Manually,Manual Price Change,691.2969696459597,67.74
DK,25444662,B2B-DK,5,415.2463074349124,PA2_Manually,Manual Price Change,628.0125797985008,66.12
DK,25444662,DKR-DK,4,212.76627236358837,PA2_Manually,Manual Price Change,628.0125797985008,33.88
DK,26161726,JMU-DK,12,2057.968662876891,PA2_Manually,Manual Price Change,2057.968662876891,100.0
